"Age","ModLat","ModLon"
56.54,-28.52,-26.85
60.45,-28.52,-26.85
54.6783333333333,-28.59,-30.6
5.646355556,-11.34,88.72
5.739896296,-11.34,88.72
5.815755556,-11.34,88.72
5.908155556,-11.34,88.72
5.987437037,-11.34,88.72
6.074703704,-11.34,88.72
6.187637037,-11.34,88.72
6.383661972,-11.34,88.72
6.513802817,-11.34,88.72
6.627042254,-11.34,88.72
6.75971831,-11.34,88.72
6.941408451,-11.34,88.72
7.314929577,-11.34,88.72
7.442535211,-11.34,88.72
7.769577465,-11.34,88.72
7.990985915,-11.34,88.72
8.117746479,-11.34,88.72
8.372957746,-11.34,88.72
8.507323944,-11.34,88.72
8.54028169,-11.34,88.72
8.574929577,-11.34,88.72
8.636619718,-11.34,88.72
8.701690141,-11.34,88.72
8.774366197,-11.34,88.72
8.814084507,-11.34,88.72
8.862253521,-11.34,88.72
8.92056338,-11.34,88.72
8.955211268,-11.34,88.72
9.017746479,-11.34,88.72
9.049859155,-11.34,88.72
9.084507042,-11.34,88.72
9.122535211,-11.34,88.72
9.174084507,-11.34,88.72
9.207887324,-11.34,88.72
9.411549296,-11.34,88.72
9.594929577,-11.34,88.72
9.726760563,-11.34,88.72
9.850140845,-11.34,88.72
9.977746479,-11.34,88.72
10.17464789,-11.34,88.72
10.43915493,-11.34,88.72
10.56333333,-11.34,88.72
10.68333333,-11.34,88.72
10.81666667,-11.34,88.72
11.29047619,-11.34,88.72
11.84646465,-11.34,88.72
12.09689655,-11.34,88.72
12.48068966,-11.34,88.72
12.54166667,-11.34,88.72
12.6203125,-11.34,88.72
12.69791667,-11.34,88.72
16.63043478,-11.34,88.72
10.96583333,-11.34,88.72
11.10380952,-11.34,88.72
11.64686869,-11.34,88.72
12.19310345,-11.34,88.72
12.25206897,-11.34,88.72
12.34931034,-11.34,88.72
12.74583333,-11.34,88.72
12.959375,-11.34,88.72
13.05434783,-11.34,88.72
13.44021739,-11.34,88.72
14.72282609,-11.34,88.72
15.0326087,-11.34,88.72
6.851111111,1.46,90.21
6.956111111,1.46,90.21
7.003888889,1.46,90.21
7.086666667,1.46,90.21
7.170555556,1.46,90.21
7.253888889,1.46,90.21
7.337222222,1.46,90.21
7.417777778,1.46,90.21
15.97544,1.46,90.21
22.58869565,1.46,90.21
7.548888889,1.46,90.21
8.091111111,1.46,90.21
8.757777778,1.46,90.21
9.424444444,1.46,90.21
10.04222222,1.46,90.21
10.77111111,1.46,90.21
12.0796,1.46,90.21
13.1836,1.46,90.21
13.89103226,1.46,90.21
14.05554839,1.46,90.21
14.38458065,1.46,90.21
14.60503226,1.46,90.21
14.76625806,1.46,90.21
14.91980645,1.46,90.21
15.09748387,1.46,90.21
15.35522581,1.46,90.21
15.42651613,1.46,90.21
15.77888,1.46,90.21
16.22744,1.46,90.21
16.47776,1.46,90.21
16.72808,1.46,90.21
16.98344,1.46,90.21
17.47232,1.46,90.21
17.83016,1.46,90.21
18.43496,1.46,90.21
19.06832,1.46,90.21
19.47656,1.46,90.21
19.96591304,1.46,90.21
5.3,-7.08,58.12
5.380299786,-7.08,58.12
5.460599572,-7.08,58.12
5.514132762,-7.08,58.12
5.618522484,-7.08,58.12
5.701498929,-7.08,58.12
5.80856531,-7.08,58.12
5.915631692,-7.08,58.12
5.969164882,-7.08,58.12
6.049464668,-7.08,58.12
6.129764454,-7.08,58.12
6.21006424,-7.08,58.12
6.394315789,-7.08,58.12
6.836421053,-7.08,58.12
7.278526316,-7.08,58.12
7.720631579,-7.08,58.12
8.162736842,-7.08,58.12
8.604842105,-7.08,58.12
8.722736842,-7.08,58.12
8.988,-7.08,58.12
9.079368421,-7.08,58.12
9.194315789,-7.08,58.12
9.312210526,-7.08,58.12
9.636421053,-7.08,58.12
10.07852632,-7.08,58.12
10.52063158,-7.08,58.12
10.96273684,-7.08,58.12
11.40484211,-7.08,58.12
11.9234073,-7.08,58.12
12.03312904,-7.08,58.12
12.14285078,-7.08,58.12
12.25257252,-7.08,58.12
12.36229426,-7.08,58.12
12.472016,-7.08,58.12
12.83775513,-7.08,58.12
13.313216,-7.08,58.12
13.42293774,-7.08,58.12
13.53265948,-7.08,58.12
13.64238122,-7.08,58.12
13.75210296,-7.08,58.12
13.8618247,-7.08,58.12
13.97739826,-7.08,58.12
14.003,-7.08,58.12
14.18138333,-7.08,58.12
14.247,-7.08,58.12
14.405,-7.08,58.12
14.43274167,-7.08,58.12
14.566,-7.08,58.12
